id,cntntsNo,cntntsSj,rtnFileUrl,rtnThumbFileUrl,growthAra,growthHg,grwhTp,minTp,maxTp,grwtve,hd,minHd,maxHd,ignSeasonCode,ignSeason,lighttdemanddo,minLt,maxLt,managedemanddo,minPstPlc,maxPstPlc,toxcty,watercycleSprng,watercycleSummer,watercycleAutumn,watercycleWinter,minWinterTp,maxWinterTp,winterLwetTp
37,14697,드라세나 콤팩타,https://nongsaro.go.kr/cms_contents/301/14697_MF_ATTACH_02.jpg,https://nongsaro.go.kr/cms_contents/301/14697_MF_ATTACH_02_TMB.jpg,50,100,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,0,,3,2,2,2,4,13,,13℃ 이상
38,14698,드라세나 트리컬러 레인보우,https://nongsaro.go.kr/cms_contents/301/14698_MF_ATTACH_02.jpg,https://nongsaro.go.kr/cms_contents/301/14698_MF_ATTACH_02_TMB.jpg,70,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,300,0,2,2,2,3,13,,13℃ 이상
39,14688,드라세나 드라코,https://nongsaro.go.kr/cms_contents/301/14688_MF_ATTACH_05.jpg,https://nongsaro.go.kr/cms_contents/301/14688_MF_ATTACH_05_TMB.jpg,50,150,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,3,3,3,3,4,13,,13℃ 이상
40,14689,드라세나 마지나타,https://nongsaro.go.kr/cms_contents/301/14689_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14689_MF_REPR_ATTACH_01_TMB.jpg,50,150,16~20℃,16,20,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,2,0,500,0,2,2,2,4,10,10,10℃
41,14690,드라세나 맛상게아나,https://nongsaro.go.kr/cms_contents/301/14690_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14690_MF_REPR_ATTACH_01_TMB.jpg,50,150,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,500,3,2,2,2,4,13,,13℃ 이상
42,14691,드라세나 산데리아나,https://nongsaro.go.kr/cms_contents/301/14691_MF_REPR_ATTACH_01.gif,https://nongsaro.go.kr/cms_contents/301/14691_MF_REPR_ATTACH_01_TMB.gif,50,100,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,1,0,,3,2,2,2,4,13,,13℃ 이상
43,14692,드라세나 산데리아나 세레스,https://nongsaro.go.kr/cms_contents/301/14692_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14692_MF_ATTACH_01_TMB.jpg,30,50,16~20℃,16,20,1,40 ~ 70%,40,70,0000,,300~1500 Lux,300,1500,2,50,,0,2,2,2,3,13,,13℃ 이상
44,14695,드라세나 수르쿨로사,https://nongsaro.go.kr/cms_contents/301/14695_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14695_MF_REPR_ATTACH_01_TMB.jpg,100,150,16~20℃,16,20,0,40% 미만,,40,0000,,300~1500 Lux,300,1500,3,0,500,0,3,3,3,4,13,,13℃ 이상
45,14699,디지고데카,https://nongsaro.go.kr/cms_contents/301/14699_MF_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14699_MF_ATTACH_01_TMB.jpg,50,100,16~20℃,16,20,2,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,500,0,3,3,3,4,13,,13℃ 이상
46,14700,디펜바키아 마리안느,https://nongsaro.go.kr/cms_contents/301/14700_MF_REPR_ATTACH_01.jpg,https://nongsaro.go.kr/cms_contents/301/14700_MF_REPR_ATTACH_01_TMB.jpg,30,50,21~25℃,21,25,0,40 ~ 70%,40,70,0000,,800~10000 Lux,800,10000,3,0,300,4,3,3,3,4,13,,13℃ 이상
